flower_binary,fruit_binary,year,day_of_the_year,dbh_cm,height_m
,,2020,157,,6
,,2020,167,,13
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,168,,
,,2020,169,,10
,,2020,169,,7
,,2020,179,,10
,,2020,179,,10
,,2020,184,,7
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,196,,
,,2020,230,,9
,,2020,240,,5
,,2020,240,,17
,,2020,240,,15
,1,2020,254,,11
,,2020,258,,9
,,2020,266,,15
,,2020,280,,8
,,2020,281,,9
1,1,2020,282,,11
,,2020,283,,13
,,2020,283,,8
,,2020,290,,8
,,2020,304,,12
,,2020,304,,9
0,0,2020,315,,11
0,1,2020,316,,5
,,2020,316,,9
,,2020,316,,8
,,2020,316,,14
0,0,2020,322,,
,,2020,338,,10
,,2020,338,,7
,,2020,343,,
,,2020,343,,
,,2020,344,,5
,,2020,344,,15
,,2020,344,,12
,,2020,344,,
,,2020,344,,
,,2020,344,,
,,2020,345,,12
,,2020,345,,12
,,2020,345,,18
,,2020,349,,
,,2020,349,,
,,2020,349,,
,,2020,350,,7
,,2020,350,,10
,,2020,350,,10
,,2020,350,,12
,,2020,350,,4
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,350,,
,,2020,351,,10
0,0,2020,351,,18
0,0,2020,351,,6
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,351,,
,,2020,352,,
,,2020,353,,
,,2020,353,,
,,2020,353,,
,,2021,6,,8
,,2021,8,,5
,,2021,8,,7
,,2021,8,,6
,,2021,8,,10
,,2021,8,,10
1,,2021,21,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,22,,
,,2021,27,,13
,,2021,27,,13
,,2021,27,,13
,,2021,27,,13
,,2021,27,,13
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,27,,
,,2021,28,,6
,,2021,28,,9
,,2021,28,,
,,2021,28,,
,,2021,28,,8
1,,2021,47,,5
,,2021,50,,5
,,2021,53,,8
1,,2021,53,,12
,,2021,54,,10
,,2021,54,,5
,,2021,69,,
,,2021,70,,4
,,2021,70,,
,,2021,70,,8
,,2021,70,,6
,,2021,70,,
,,2021,70,,
,,2021,70,,8
,,2021,70,,
,,2021,70,,
,,2021,76,,11
,,2021,88,,
,,2021,88,,
,,2021,88,,
,,2021,88,,
,0,2021,91,,15
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,98,,
,,2021,99,,
,,2021,99,,
,,2021,99,,
,,2021,100,,
,,2021,100,,
,,2021,100,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,107,,
,,2021,108,,
,,2021,116,,11
,,2021,131,,10
,,2021,131,,12
,,2021,131,,12
,,2021,131,,8
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,138,,
,,2021,145,,14
,,2021,145,,14
,,2021,186,,7
,,2021,186,,10
,,2021,189,,15
,,2021,189,,12
,,2021,190,,5
,,2021,190,,15
,,2021,190,,
,,2021,190,,8
,,2021,190,,9
,,2021,190,,14
,,2021,190,,8
,,2021,190,,15
,,2021,190,,8
,,2021,217,,9
,,2021,217,,9
,,2021,217,,6
,,2021,217,,4.5
,,2021,217,,7
,,2021,217,,7
,,2021,256,,5
,,2021,256,,4
,,2021,257,,7
,,2021,257,,10
,,2021,257,,6
,,2021,257,,6
,,2021,257,,7
,,2022,69,,
,,2017,230,,
,,2017,256,,
,,2017,285,,
,,2018,4,,
,,2018,4,,
,,2018,21,,
,,2018,21,,
,,2018,21,,
,,2018,21,,
,,2018,21,,
