year,dbh_cm,height_m,disturbance_category,fire_disturbance_type,logging_decade
2020,,10,fire,No detected disturbance,
2020,,15,fire,No detected disturbance,
2020,,12,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2021,,13,fire,No detected disturbance,
2021,,15,fire,No detected disturbance,
2021,,5,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,11,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,4,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,15,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,15,fire,No detected disturbance,
2021,,15,fire,No detected disturbance,
2021,,17,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,5,fire,No detected disturbance,
2021,,14,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,5,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,5,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,10,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,4,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,6,fire,No detected disturbance,
2021,26,16,fire,No detected disturbance,
2021,23,11,fire,No detected disturbance,
2021,19,9,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,,15,fire,Fire Severity 5b - No Crown Scorch. No Understorey Burnt,
2021,19,10,fire,No detected disturbance,
2021,18,8,fire,No detected disturbance,
2021,15,8,fire,No detected disturbance,
2021,15,8,fire,No detected disturbance,
2021,14,6,fire,No detected disturbance,
2021,13,6,fire,No detected disturbance,
2021,13,7,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,12,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
2021,,4,fire,No detected disturbance,
2021,,5,fire,No detected disturbance,
2021,,7.5,fire,No detected disturbance,
2021,,6,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,5,fire,No detected disturbance,
2021,,4,fire,No detected disturbance,
2021,13,7,fire,No detected disturbance,
2021,,15,fire,No detected disturbance,
2021,,6,fire,No detected disturbance,
2021,,8,fire,No detected disturbance,
2021,,7,fire,No detected disturbance,
