persoonia_regen_height_m,max_tree_age_yrs
0.94,3.73698630137005
0.43,3.73698630137005
0.41,3.73698630137005
0.71,3.73698630137005
0.46,3.73698630137005
2.25,3.73698630137005
1.51,3.73698630137005
1.64,3.73698630137005
1.68,3.73698630137005
1.52,3.73698630137005
0.79,3.73698630137005
0.98,3.73698630137005
1.21,3.73698630137005
1.01,3.73698630137005
0.76,3.73698630137005
0.8,3.73698630137005
0.79,3.73698630137005
1.19,3.73698630137005
1.17,3.73698630137005
0.56,3.73698630137005
1.13,3.73698630137005
1.78,3.73698630137005
1.31,3.73698630137005
1.31,3.73698630137005
1.03,3.73698630137005
0.75,3.73698630137005
1.58,3.73698630137005
0.72,3.73698630137005
0.79,3.73698630137005
0.35,3.73698630137005
0.67,3.73698630137005
0.91,3.73698630137005
0.2,3.03287671232874
0.37,3.03287671232874
0.24,3.03287671232874
0.6,3.03287671232874
0.17,3.03287671232874
0.22,3.03287671232874
0.18,3.03287671232874
0.07,3.03287671232874
0.48,3.03287671232874
0.49,3.03287671232874
0.4,3.03287671232874
0.23,3.03287671232874
0.17,3.03287671232874
0.12,3.03287671232874
0.26,3.03287671232874
0.09,3.03287671232874
0.33,3.03287671232874
0.43,3.03287671232874
0.47,3.03287671232874
0.44,3.03287671232874
0.3,3.03287671232874
0.43,3.03287671232874
0.22,3.03287671232874
0.46,3.03287671232874
0.39,3.03287671232874
0.21,3.03287671232874
0.82,3.03287671232874
0.2,3.03287671232874
0.21,3.03287671232874
0.2,3.03287671232874
0.12,3.03287671232874
0.16,3.03287671232874
0.17,3.03287671232874
0.23,3.03287671232874
0.36,3.03287671232874
0.37,3.03287671232874
0.29,3.03287671232874
0.35,3.03287671232874
0.43,3.03287671232874
0.57,3.03287671232874
1.27,3.03287671232874
0.6,3.03287671232874
0.37,3.03287671232874
0.11,3.03287671232874
0.53,3.03287671232874
0.23,3.03287671232874
0.21,3.03287671232874
0.44,3.03287671232874
0.33,3.03287671232874
0.14,3.03287671232874
0.33,3.03287671232874
0.24,3.03287671232874
0.18,3.03287671232874
0.68,3.03287671232874
0.49,3.03287671232874
0.23,3.03287671232874
0.18,3.03287671232874
0.55,3.03287671232874
0.12,3.03287671232874
0.54,3.03287671232874
0.52,3.03287671232874
0.31,3.03287671232874
0.32,3.03287671232874
0.5,3.03287671232874
0.39,3.03287671232874
0.13,3.03287671232874
0.14,3.03287671232874
0.35,3.03287671232874
0.16,3.03287671232874
0.25,3.03287671232874
0.31,3.03287671232874
0.15,3.03287671232874
0.1,3.03287671232874
0.46,3.03287671232874
0.44,3.03287671232874
0.27,3.03287671232874
0.17,3.03287671232874
0.58,3.03287671232874
0.08,3.03287671232874
0.06,3.03287671232874
0.44,3.03287671232874
0.4,3.03287671232874
0.38,3.03287671232874
0.52,3.03287671232874
0.44,3.03287671232874
0.33,3.03287671232874
0.37,3.03287671232874
0.75,3.03287671232874
0.6,3.03287671232874
0.3,3.03287671232874
0.1,3.03287671232874
0.2,3.03287671232874
0.31,3.03287671232874
0.96,3.03287671232874
0.18,3.03287671232874
0.32,3.03287671232874
0.11,3.03287671232874
0.13,3.03287671232874
0.26,3.03287671232874
0.14,3.03287671232874
0.58,3.03287671232874
0.6,3.03287671232874
0.18,3.03287671232874
0.42,3.03287671232874
0.24,3.03287671232874
0.17,3.03287671232874
0.48,3.03287671232874
0.24,3.03287671232874
0.62,3.03287671232874
0.8,3.03287671232874
0.77,3.03287671232874
0.3,3.03287671232874
0.21,3.03287671232874
0.22,3.03287671232874
0.42,3.03287671232874
0.19,3.03287671232874
0.63,3.03287671232874
0.31,3.03287671232874
0.97,3.03287671232874
0.43,3.03287671232874
0.47,3.03287671232874
0.55,3.03287671232874
0.12,3.03287671232874
0.1,3.03287671232874
0.46,3.03287671232874
0.3,3.03287671232874
0.32,3.03287671232874
0.88,3.03287671232874
0.38,3.03287671232874
0.61,3.03287671232874
0.23,3.03287671232874
0.19,3.03287671232874
0.18,3.03287671232874
0.46,3.03287671232874
0.35,3.03287671232874
0.3,3.03287671232874
0.44,3.03287671232874
0.18,3.03287671232874
1.11,3.03287671232874
0.13,3.03287671232874
0.52,3.03287671232874
0.49,3.03287671232874
0.21,3.03287671232874
0.53,3.03287671232874
0.57,3.03287671232874
0.58,3.03287671232874
0.57,3.03287671232874
0.48,3.03287671232874
0.65,3.03287671232874
0.14,3.03287671232874
0.59,3.03287671232874
0.93,3.03287671232874
0.49,3.03287671232874
0.46,3.03287671232874
0.04,3.03287671232874
0.5,3.03287671232874
0.45,3.03287671232874
0.38,3.03287671232874
0.33,3.03287671232874
0.91,3.03287671232874
0.7,3.03287671232874
0.23,3.03287671232874
0.76,3.03287671232874
0.6,3.03287671232874
0.36,3.03287671232874
0.4,3.03287671232874
